epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1078.5,0.81991,0.63706,0.93921,0.70141,0.68392,0.68824,0.45402,1.02333,0.93726,1.00872,0.000720845,0.000720845,0.000720845
138,1086.27,0.81903,0.66721,0.93952,0.73431,0.61094,0.67389,0.43939,1.02455,0.99086,1.00436,0.00072002,0.00072002,0.00072002
139,1094,0.80713,0.64175,0.93195,0.62153,0.59887,0.63457,0.4259,0.98753,1.06628,0.98733,0.000719196,0.000719196,0.000719196
140,1101.7,0.81904,0.64306,0.93104,0.7797,0.63025,0.69228,0.46048,1.02288,0.94858,0.99929,0.000718371,0.000718371,0.000718371
141,1109.48,0.82881,0.66134,0.93451,0.65782,0.51604,0.57397,0.36808,1.12949,1.1367,1.07746,0.000717546,0.000717546,0.000717546
142,1117.22,0.81266,0.6861,0.93771,0.69948,0.5952,0.62627,0.41465,1.08847,1.11463,1.0378,0.000716722,0.000716722,0.000716722
143,1124.97,0.82041,0.67821,0.93679,0.65277,0.62509,0.63606,0.43252,1.06582,1.09893,1.01203,0.000715897,0.000715897,0.000715897
144,1132.7,0.81588,0.66465,0.93493,0.78085,0.61049,0.67446,0.43616,1.07652,1.04084,1.02831,0.000715072,0.000715072,0.000715072
145,1140.43,0.82229,0.66636,0.93105,0.76565,0.59122,0.67139,0.44809,1.03225,0.97898,1.02358,0.000714248,0.000714248,0.000714248
146,1148.19,0.8085,0.66399,0.93465,0.67937,0.67425,0.66601,0.45101,1.0012,0.99947,1.00691,0.000713423,0.000713423,0.000713423
147,1155.99,0.814,0.65394,0.93298,0.73934,0.6282,0.66678,0.46193,1.00247,0.95872,1.00158,0.000712598,0.000712598,0.000712598
148,1163.78,0.81236,0.652,0.92813,0.76634,0.61552,0.68268,0.46572,0.985,0.9539,0.97418,0.000711774,0.000711774,0.000711774
149,1171.57,0.80071,0.64535,0.92275,0.68216,0.54684,0.57819,0.36039,1.23284,1.29838,1.17286,0.000710949,0.000710949,0.000710949
150,1179.37,0.831,0.66527,0.92601,0.75712,0.5936,0.66803,0.45107,1.05252,1.2457,0.99853,0.000710124,0.000710124,0.000710124
151,1187.18,0.81788,0.64362,0.93242,0.72638,0.62856,0.6712,0.45363,1.02926,1.0852,1.00455,0.000709299,0.000709299,0.000709299
152,1195.03,0.80343,0.62692,0.92792,0.73101,0.55658,0.6403,0.42103,1.0876,1.28197,1.01792,0.000708475,0.000708475,0.000708475
153,1202.82,0.7954,0.64217,0.92965,0.77548,0.65225,0.69964,0.47523,0.9802,1.01414,0.97342,0.00070765,0.00070765,0.00070765
154,1210.69,0.77722,0.61166,0.91469,0.74315,0.69583,0.71664,0.48592,0.96675,0.92407,0.96657,0.000706825,0.000706825,0.000706825
155,1218.47,0.79339,0.62476,0.9288,0.76849,0.67475,0.70383,0.47857,0.99387,0.87794,0.96518,0.000706001,0.000706001,0.000706001
156,1226.27,0.78039,0.63884,0.9184,0.75222,0.69207,0.71259,0.47286,0.9909,0.9089,0.9817,0.000705176,0.000705176,0.000705176
157,1234.02,0.7998,0.64313,0.93571,0.70489,0.61662,0.6518,0.44977,1.02319,1.03844,1.00446,0.000704351,0.000704351,0.000704351
158,1241.73,0.79418,0.6459,0.9249,0.64312,0.33242,0.40219,0.22149,1.5315,2.23214,1.47046,0.000703527,0.000703527,0.000703527
159,1249.58,0.79677,0.64547,0.92174,0.66449,0.50333,0.54402,0.34697,1.19014,1.30125,1.10279,0.000702702,0.000702702,0.000702702
160,1257.35,0.79404,0.62758,0.92501,0.63472,0.57372,0.61304,0.40926,1.04295,1.15776,1.00584,0.000701877,0.000701877,0.000701877
161,1265.14,0.80727,0.63803,0.92505,0.71722,0.48521,0.56922,0.38006,1.07953,1.34368,1.02891,0.000701053,0.000701053,0.000701053
162,1272.95,0.80392,0.62992,0.93126,0.72386,0.59586,0.64389,0.42433,1.01835,1.03816,1.00494,0.000700228,0.000700228,0.000700228
163,1280.72,0.77168,0.60531,0.91674,0.6524,0.52261,0.54753,0.35026,1.13335,1.31207,1.12631,0.000699403,0.000699403,0.000699403
164,1288.5,0.79886,0.61452,0.92573,0.68863,0.5028,0.55032,0.36288,1.17321,1.50644,1.09257,0.000698579,0.000698579,0.000698579
165,1296.37,0.79475,0.6147,0.92793,0.68921,0.56928,0.62434,0.37962,1.17541,1.12907,1.08497,0.000697754,0.000697754,0.000697754
166,1304.18,0.77734,0.60782,0.92166,0.69454,0.59608,0.61532,0.41061,1.07626,1.27207,1.00711,0.000696929,0.000696929,0.000696929
167,1311.98,0.78861,0.61664,0.92228,0.71835,0.66669,0.68554,0.45474,1.01855,1.03745,0.98139,0.000696105,0.000696105,0.000696105
168,1319.8,0.80152,0.63376,0.9177,0.75403,0.64254,0.67774,0.46068,0.99529,0.97587,0.97928,0.00069528,0.00069528,0.00069528
169,1327.56,0.78266,0.59579,0.92178,0.68369,0.61303,0.649,0.4274,1.09666,1.17928,1.06564,0.000694455,0.000694455,0.000694455
170,1335.3,0.76076,0.58309,0.92241,0.64419,0.53659,0.56295,0.33275,1.22327,1.35055,1.17351,0.000693631,0.000693631,0.000693631
171,1343.04,0.79974,0.6423,0.9247,0.68882,0.48992,0.5564,0.34997,1.13647,1.31003,1.06555,0.000692806,0.000692806,0.000692806
172,1350.81,0.77925,0.60386,0.9293,0.77215,0.62948,0.69101,0.45795,0.99546,1.00769,0.97503,0.000691981,0.000691981,0.000691981
