epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1250.63,0.90685,0.79677,0.97279,0.65873,0.63959,0.6428,0.40897,1.1128,1.15121,1.0857,0.0089011,0.0089011,0.0089011
113,1258.45,0.92075,0.77654,0.9728,0.75524,0.63678,0.67044,0.46101,1.05005,1.03456,1.01364,0.0088912,0.0088912,0.0088912
114,1266.1,0.87756,0.73557,0.96169,0.64718,0.4671,0.50992,0.33068,1.21713,1.4485,1.12959,0.0088813,0.0088813,0.0088813
115,1273.82,0.9093,0.7577,0.96446,0.61033,0.29333,0.34115,0.21282,1.39629,2.92261,1.2687,0.0088714,0.0088714,0.0088714
116,1281.56,0.88364,0.74332,0.9585,0.6796,0.59336,0.64285,0.41683,1.12524,1.21958,1.06387,0.0088615,0.0088615,0.0088615
117,1289.29,0.88397,0.76766,0.95676,0.5802,0.51699,0.52447,0.34723,1.07879,1.51651,1.04413,0.0088516,0.0088516,0.0088516
118,1297.03,0.89482,0.76571,0.9696,0.67441,0.62232,0.63013,0.41407,1.02616,1.16609,1.0136,0.0088417,0.0088417,0.0088417
119,1304.9,0.90867,0.77787,0.95805,0.73606,0.58653,0.62891,0.42527,1.07113,1.1444,1.02813,0.0088318,0.0088318,0.0088318
120,1312.65,0.88435,0.77348,0.96848,0.71499,0.63022,0.6557,0.45439,1.02149,1.02476,1.00778,0.0088219,0.0088219,0.0088219
121,1320.4,0.8775,0.78045,0.96028,0.70051,0.61278,0.62618,0.38414,1.12297,1.09943,1.10209,0.008812,0.008812,0.008812
122,1328.04,0.91365,0.8109,0.9645,0.70438,0.62779,0.63479,0.42463,1.0317,1.05906,1.01599,0.0088021,0.0088021,0.0088021
123,1335.84,0.88419,0.74979,0.95969,0.67774,0.49231,0.51799,0.3167,1.31518,1.48948,1.13213,0.0087922,0.0087922,0.0087922
124,1343.52,0.86603,0.73635,0.95427,0.70464,0.60573,0.64817,0.43424,1.01785,1.06326,1.0115,0.0087823,0.0087823,0.0087823
125,1351.19,0.89426,0.75938,0.95639,0.53689,0.32724,0.32944,0.18298,1.53301,2.0427,1.46292,0.0087724,0.0087724,0.0087724
126,1358.87,0.87282,0.74597,0.95917,0.71621,0.6293,0.67408,0.45238,1.04523,1.00329,1.01815,0.0087625,0.0087625,0.0087625
127,1366.6,0.92064,0.78595,0.98139,0.61589,0.605,0.58325,0.38535,1.10339,1.14917,1.04144,0.0087526,0.0087526,0.0087526
128,1374.32,0.8763,0.74419,0.94968,0.36183,0.23228,0.19169,0.11935,2.02905,3.11633,2.15582,0.0087427,0.0087427,0.0087427
129,1382.05,0.88734,0.7228,0.95623,0.70783,0.60644,0.64073,0.43551,1.06664,1.2385,1.03219,0.0087328,0.0087328,0.0087328
130,1389.85,0.89101,0.75379,0.96191,0.79225,0.58907,0.66291,0.456,1.02773,1.05047,0.99942,0.0087229,0.0087229,0.0087229
131,1397.5,0.87784,0.7442,0.95855,0.63564,0.61264,0.66213,0.44788,1.05208,0.97279,1.02116,0.008713,0.008713,0.008713
132,1405.3,0.88638,0.75366,0.95292,0.54043,0.42287,0.40213,0.22593,1.59145,1.9037,1.75841,0.0087031,0.0087031,0.0087031
133,1412.92,0.87447,0.72252,0.95183,0.74309,0.66409,0.69069,0.47632,1.02037,0.98386,0.99738,0.0086932,0.0086932,0.0086932
134,1420.63,0.87784,0.75843,0.95418,0.57268,0.52432,0.52495,0.36598,1.16517,1.72867,1.05875,0.0086833,0.0086833,0.0086833
135,1428.47,0.87721,0.73333,0.95537,0.74288,0.5875,0.64394,0.43034,1.04438,1.14112,1.0173,0.0086734,0.0086734,0.0086734
136,1436.28,0.86538,0.70827,0.95727,0.79117,0.62464,0.68537,0.45236,1.0916,0.98159,1.0766,0.0086635,0.0086635,0.0086635
137,1443.96,0.8883,0.72623,0.9516,0.73925,0.67138,0.69855,0.47893,1.00078,0.96254,1.0177,0.0086536,0.0086536,0.0086536
138,1451.61,0.88598,0.74383,0.95385,0.64462,0.59374,0.59631,0.36538,1.23258,1.28473,1.12722,0.0086437,0.0086437,0.0086437
139,1459.36,0.8884,0.74821,0.95505,0.75853,0.64451,0.69279,0.47477,1.01862,1.00091,1.0088,0.0086338,0.0086338,0.0086338
140,1467.13,0.85824,0.70729,0.95682,0.76015,0.62835,0.69245,0.47524,1.02911,1.03649,1.00497,0.0086239,0.0086239,0.0086239
141,1474.87,0.8788,0.73201,0.958,0.65455,0.48231,0.50666,0.30682,1.35137,1.6713,1.14898,0.008614,0.008614,0.008614
142,1482.51,0.88497,0.75265,0.96207,0.59272,0.47212,0.49203,0.28269,1.42745,2.10554,1.4019,0.0086041,0.0086041,0.0086041
143,1490.33,0.87312,0.74448,0.95936,0.68109,0.68912,0.68054,0.45455,1.04394,0.96649,1.01548,0.0085942,0.0085942,0.0085942
144,1498.21,0.86307,0.71237,0.94929,0.71609,0.65364,0.67242,0.45961,1.0232,1.00053,1.00608,0.0085843,0.0085843,0.0085843
145,1505.88,0.86038,0.69839,0.94792,0.67751,0.61327,0.64819,0.43303,1.06926,1.04985,1.02262,0.0085744,0.0085744,0.0085744
146,1513.61,0.85323,0.71881,0.9413,0.5319,0.58813,0.54766,0.34244,1.20283,1.3572,1.12408,0.0085645,0.0085645,0.0085645
147,1521.38,0.86746,0.70895,0.94377,0.65162,0.56375,0.59768,0.40041,1.06367,1.20108,1.03292,0.0085546,0.0085546,0.0085546
148,1529.14,0.85604,0.7002,0.94746,0.65215,0.48847,0.50863,0.34178,1.18242,1.55677,1.09987,0.0085447,0.0085447,0.0085447
149,1536.81,0.86933,0.70425,0.95518,0.7192,0.65444,0.66632,0.4255,1.0983,1.07903,1.04645,0.0085348,0.0085348,0.0085348
150,1544.5,0.86759,0.71626,0.95651,0.75239,0.57945,0.66632,0.44258,1.08664,1.14967,1.0542,0.0085249,0.0085249,0.0085249
151,1552.29,0.87335,0.71729,0.95137,0.5911,0.56618,0.58274,0.37537,1.16256,1.34417,1.09826,0.008515,0.008515,0.008515
152,1560.05,0.87961,0.70738,0.9525,0.71586,0.63754,0.666,0.46211,0.99776,0.96222,0.98348,0.0085051,0.0085051,0.0085051
153,1567.77,0.86135,0.69269,0.95086,0.73235,0.64365,0.67982,0.45612,1.03471,1.05663,0.99979,0.0084952,0.0084952,0.0084952
154,1575.5,0.86806,0.70676,0.94845,0.65942,0.62693,0.651,0.43832,1.05235,1.16298,1.01456,0.0084853,0.0084853,0.0084853
155,1583.29,0.8584,0.70235,0.94951,0.72329,0.60192,0.63203,0.43483,1.03636,1.08739,1.01644,0.0084754,0.0084754,0.0084754
156,1590.92,0.84715,0.71774,0.94404,0.74835,0.63628,0.66471,0.46984,1.00617,0.93896,1.00058,0.0084655,0.0084655,0.0084655
157,1598.69,0.84113,0.68779,0.94293,0.73077,0.64251,0.67617,0.47038,1.00253,0.96441,0.99292,0.0084556,0.0084556,0.0084556
158,1606.31,0.82276,0.67263,0.93891,0.73584,0.61279,0.65914,0.44737,1.01735,0.99505,0.9982,0.0084457,0.0084457,0.0084457
159,1614.02,0.85516,0.6892,0.94836,0.78517,0.66463,0.69541,0.47282,0.99665,0.94329,0.9997,0.0084358,0.0084358,0.0084358
160,1621.78,0.84374,0.68306,0.94351,0.51353,0.4942,0.47981,0.3071,1.23294,1.57422,1.11352,0.0084259,0.0084259,0.0084259
161,1629.48,0.85245,0.71479,0.9395,0.6581,0.58742,0.61111,0.40706,1.04989,1.13889,1.01317,0.008416,0.008416,0.008416
162,1637.24,0.83798,0.68337,0.94258,0.70218,0.64783,0.6724,0.45643,0.99818,0.9825,0.9972,0.0084061,0.0084061,0.0084061
163,1644.88,0.84201,0.69725,0.94761,0.59376,0.46546,0.49855,0.30356,1.31731,1.7261,1.16168,0.0083962,0.0083962,0.0083962
164,1652.61,0.8445,0.68356,0.94795,0.60826,0.54778,0.55286,0.32195,1.28195,1.3083,1.23091,0.0083863,0.0083863,0.0083863
165,1660.41,0.83997,0.68258,0.94829,0.66729,0.62832,0.65234,0.44272,1.05744,0.98539,1.01883,0.0083764,0.0083764,0.0083764
166,1668.11,0.84411,0.68649,0.94455,0.72166,0.68228,0.68844,0.45001,1.05029,0.9748,1.0296,0.0083665,0.0083665,0.0083665
167,1675.96,0.84765,0.6967,0.94246,0.73302,0.64123,0.66215,0.4475,1.05851,1.06472,1.00885,0.0083566,0.0083566,0.0083566
