epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,931.494,0.99735,0.93314,1.00779,0.69996,0.25118,0.29988,0.1766,1.52614,2.19001,1.33712,0.0088318,0.0088318,0.0088318
120,939.243,0.98475,0.93301,1.02496,0.54369,0.10378,0.10722,0.04297,3.069,3.89742,4.9001,0.0088219,0.0088219,0.0088219
121,947.08,0.99064,0.95932,1.01281,0.54603,0.12043,0.09768,0.03062,2.52126,5.90798,2.68503,0.008812,0.008812,0.008812
122,954.831,0.99273,0.98185,1.01006,0.51867,0.14646,0.13939,0.07215,2.12849,3.40434,2.07769,0.0088021,0.0088021,0.0088021
123,962.673,0.97313,0.91471,1.00515,0.62712,0.61128,0.6286,0.41432,1.06583,1.07846,1.03602,0.0087922,0.0087922,0.0087922
124,970.501,0.93672,0.88553,0.99302,0.63561,0.44693,0.49696,0.29514,1.30223,1.53313,1.21892,0.0087823,0.0087823,0.0087823
125,978.267,0.97709,0.90513,1.00357,0.59951,0.48283,0.51756,0.30755,1.31798,1.46925,1.30228,0.0087724,0.0087724,0.0087724
126,986.084,0.95159,0.9096,0.99976,0.57647,0.50952,0.54,0.34753,1.15516,1.72175,1.11069,0.0087625,0.0087625,0.0087625
127,993.896,0.98105,0.94863,1.01159,0.48043,0.23602,0.20864,0.10627,1.86391,2.94637,1.99149,0.0087526,0.0087526,0.0087526
128,1001.71,0.95923,0.91775,0.98713,0.5509,0.09818,0.0712,0.02242,3.07904,4.89469,5.05252,0.0087427,0.0087427,0.0087427
129,1009.48,0.95921,0.88652,0.99835,0.54887,0.41456,0.38135,0.19317,1.72068,1.9203,2.01499,0.0087328,0.0087328,0.0087328
130,1017.17,0.97765,0.9088,1.00845,0.65417,0.65998,0.67001,0.44794,1.02529,1.03297,1.01607,0.0087229,0.0087229,0.0087229
131,1024.99,0.95854,0.90246,0.99799,0.57628,0.53063,0.52032,0.31696,1.34344,1.4585,1.36649,0.008713,0.008713,0.008713
