epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
141,6755.06,0.53063,0.56749,0.11294,0.76527,0.6193,0.6642,0.41726,0.51206,0.62069,0.161,0.008614,0.008614,0.008614
142,6802.92,0.56408,0.56657,0.12054,0.75315,0.58144,0.63766,0.38152,0.56045,0.6458,0.17727,0.0086041,0.0086041,0.0086041
143,6850.82,0.59996,0.5746,0.12349,0.73593,0.60486,0.63146,0.41239,0.49664,0.64577,0.15882,0.0085942,0.0085942,0.0085942
144,6898.36,0.6054,0.57528,0.12857,0.64653,0.58048,0.60204,0.35768,0.57807,0.65796,0.17052,0.0085843,0.0085843,0.0085843
145,6946.25,0.57657,0.57826,0.12398,0.69316,0.61401,0.63932,0.38308,0.52997,0.62616,0.1696,0.0085744,0.0085744,0.0085744
146,6994.01,0.56401,0.56077,0.12042,0.73044,0.62908,0.6591,0.38202,0.56131,0.67491,0.1854,0.0085645,0.0085645,0.0085645
147,7041.81,0.55723,0.57005,0.11073,0.71688,0.62641,0.6583,0.42588,0.49053,0.62972,0.16542,0.0085546,0.0085546,0.0085546
148,7089.52,0.55727,0.5669,0.10849,0.69589,0.62774,0.6553,0.40321,0.53213,0.60599,0.16201,0.0085447,0.0085447,0.0085447
149,7137.23,0.48789,0.52586,0.11216,0.76594,0.67504,0.69128,0.43727,0.46572,0.62083,0.15452,0.0085348,0.0085348,0.0085348
150,7184.97,0.55563,0.56269,0.11463,0.73053,0.65394,0.67602,0.42886,0.51173,0.63495,0.15736,0.0085249,0.0085249,0.0085249
151,7232.8,0.65953,0.562,0.1265,0.73866,0.60089,0.6474,0.36626,0.59082,0.62917,0.16577,0.008515,0.008515,0.008515
152,7280.45,0.56901,0.58931,0.11395,0.61531,0.52407,0.54313,0.25959,0.66896,0.64265,0.19203,0.0085051,0.0085051,0.0085051
153,7327.96,0.60689,0.57633,0.12452,0.73869,0.59758,0.63796,0.34825,0.59528,0.60857,0.1836,0.0084952,0.0084952,0.0084952
154,7375.72,0.67522,0.56205,0.13278,0.70548,0.61475,0.6496,0.37804,0.54569,0.65235,0.17194,0.0084853,0.0084853,0.0084853
155,7423.54,0.54072,0.58085,0.11081,0.75795,0.61312,0.65799,0.41306,0.51134,0.62414,0.16119,0.0084754,0.0084754,0.0084754
156,7471.29,0.54108,0.56063,0.11137,0.60611,0.58538,0.58488,0.32974,0.57263,0.67695,0.17897,0.0084655,0.0084655,0.0084655
157,7518.92,0.54246,0.59518,0.1147,0.64127,0.58105,0.59971,0.31993,0.61412,0.65349,0.19315,0.0084556,0.0084556,0.0084556
158,7566.58,0.57623,0.58099,0.11799,0.73119,0.60816,0.64607,0.37961,0.55068,0.63702,0.16855,0.0084457,0.0084457,0.0084457
159,7614.12,0.61591,0.57422,0.12624,0.73723,0.64161,0.67142,0.40148,0.54273,0.61264,0.1639,0.0084358,0.0084358,0.0084358
160,7661.95,0.55124,0.55411,0.11156,0.71728,0.66488,0.69275,0.41551,0.527,0.60379,0.16867,0.0084259,0.0084259,0.0084259
161,7709.68,0.53933,0.58201,0.10789,0.75417,0.63721,0.67214,0.38921,0.56319,0.63817,0.1601,0.008416,0.008416,0.008416
162,7757.52,0.54743,0.55937,0.10909,0.69802,0.58256,0.61918,0.3749,0.55337,0.64165,0.16679,0.0084061,0.0084061,0.0084061
163,7805.19,0.58005,0.5899,0.1172,0.70334,0.64445,0.65099,0.41331,0.50312,0.64363,0.17099,0.0083962,0.0083962,0.0083962
164,7852.8,0.53818,0.57071,0.11216,0.68268,0.58876,0.60963,0.34993,0.59635,0.61117,0.19378,0.0083863,0.0083863,0.0083863
165,7900.6,0.61087,0.56402,0.12116,0.72844,0.66472,0.6774,0.42982,0.49961,0.61385,0.16804,0.0083764,0.0083764,0.0083764
166,7948.31,0.55226,0.52922,0.12,0.67044,0.64719,0.65297,0.40028,0.55715,0.58618,0.17221,0.0083665,0.0083665,0.0083665
167,7996.08,0.57275,0.53024,0.11906,0.73056,0.59314,0.64613,0.39285,0.55912,0.59215,0.19302,0.0083566,0.0083566,0.0083566
168,8043.78,0.64663,0.58449,0.12312,0.75366,0.61751,0.67063,0.43556,0.48582,0.62124,0.17042,0.0083467,0.0083467,0.0083467
169,8091.49,0.52003,0.56895,0.11327,0.6925,0.61553,0.64835,0.3811,0.5909,0.59919,0.18027,0.0083368,0.0083368,0.0083368
170,8139.2,0.61616,0.56665,0.12008,0.76398,0.64717,0.68814,0.44411,0.5166,0.62301,0.17517,0.0083269,0.0083269,0.0083269
171,8186.91,0.5972,0.5406,0.11952,0.75842,0.61368,0.6475,0.40179,0.53028,0.60545,0.1786,0.008317,0.008317,0.008317
172,8234.52,0.60823,0.598,0.11658,0.77416,0.6053,0.65777,0.41485,0.49922,0.63186,0.17411,0.0083071,0.0083071,0.0083071
173,8282.23,0.56219,0.5658,0.12471,0.79545,0.63435,0.68544,0.43038,0.50462,0.62213,0.17484,0.0082972,0.0082972,0.0082972
174,8330.01,0.53888,0.56763,0.11038,0.76307,0.5702,0.63681,0.38835,0.54955,0.62103,0.18873,0.0082873,0.0082873,0.0082873
